,layer,method,number,accuracy,maxdepth
224,model.blocks.1.activation,SAE,0,0.8743718592964824,1
225,model.edge_s2s,SAE,102,0.7487179487179487,1
226,model.edge_s2s,SAE,165,0.837696335078534,1
227,model.edge_s2s,SAE,173,0.8461538461538461,1
228,model.edge_s2s,baseline,4,0.654639175257732,1
229,model.blocks.0.activation,SAE,41,0.7626262626262627,1
230,model.node_s2s,SAE,19,0.8333333333333334,1
231,model.state_encoder.layers.1,SAE,4,0.8793969849246231,1
232,model.node_s2s,SAE,165,0.8585858585858586,1
233,model.edge_s2s,SAE,118,0.7823834196891192,1
234,model.blocks.2.activation,SAE,27,0.6615384615384615,1
235,model.node_s2s,SAE,44,0.8481675392670157,1
236,model.blocks.2.activation,SAE,3,0.9238578680203046,1
237,model.node_s2s,SOM,23,0.9863945578231292,1
238,model.blocks.2.activation,SAE,1,0.8108108108108109,1
239,model.node_s2s,SAE,105,0.7894736842105263,1
240,model.state_encoder.layers.1,SAE,35,0.8923076923076924,1
241,model.output_proj.layers.2,SOM,14,0.9694656488549618,1
242,model.blocks.0.activation,SAE,43,0.8112244897959183,1
243,model.edge_s2s,SAE,111,0.8385416666666666,1
244,model.blocks.2.activation,SAE,33,0.7189189189189189,1
245,model.node_s2s,baseline,16,0.8074866310160428,1
246,model.edge_s2s,SAE,60,0.8534031413612565,1
247,model.node_s2s,baseline,21,0.9166666666666666,1
248,model.state_encoder.layers.1,baseline,3,0.9191919191919192,1
249,model.blocks.1.activation,SAE,38,0.8686868686868687,1
250,model.edge_s2s,SAE,76,0.7333333333333333,1
251,model.state_encoder.layers.1,SAE,22,0.817258883248731,1
252,model.blocks.1.activation,baseline,1,0.7929292929292929,1
253,model.state_encoder.layers.1,SAE,10,0.9230769230769231,1
254,model.edge_s2s,SAE,179,0.8526315789473684,1
255,model.edge_s2s,SAE,96,0.7959183673469388,1
256,model.node_s2s,SAE,180,0.8020304568527918,1
257,model.edge_s2s,baseline,62,0.7373737373737373,1
258,model.node_s2s,SAE,22,0.8324607329842932,1
259,model.edge_s2s,SAE,35,0.7864583333333334,1
260,model.node_s2s,baseline,26,0.8542713567839196,1
261,model.edge_s2s,SAE,159,0.8134715025906736,1
262,model.blocks.2.activation,SOM,16,0.9444444444444444,1
263,model.blocks.0.activation,SAE,9,0.8917525773195877,1
264,model.state_encoder.layers.1,SOM,20,0.9365079365079365,1
265,model.state_encoder.layers.1,baseline,5,0.8564102564102564,1
266,model.node_s2s,SAE,164,0.8263157894736842,1
267,model.edge_s2s,baseline,53,0.7704081632653061,1
268,model.blocks.0.activation,SAE,42,0.914572864321608,1
269,model.blocks.0.activation,baseline,6,0.7657142857142857,1
270,model.node_s2s,SAE,13,0.8125,1
271,model.blocks.2.activation,SAE,31,0.9132653061224489,1
272,model.blocks.0.activation,SOM,6,0.9254658385093167,1
273,model.blocks.1.activation,SAE,15,0.7835051546391752,1
274,model.node_s2s,SAE,77,0.8253968253968254,1
275,model.node_s2s,baseline,34,0.7727272727272727,1
276,model.node_s2s,SAE,171,0.84375,1
277,model.node_s2s,SAE,62,0.8272251308900523,1
278,model.blocks.1.activation,SAE,46,0.7537688442211056,1
279,model.state_encoder.layers.1,SOM,5,0.7877094972067039,1
280,model.edge_s2s,baseline,28,0.8547486033519553,1
281,model.node_s2s,SAE,36,0.8429319371727748,1
282,model.output_proj.layers.2,SOM,12,0.9534883720930233,1
283,model.blocks.1.activation,SAE,34,0.7925531914893617,1
284,model.state_encoder.layers.1,SOM,22,0.9256756756756757,1
285,model.node_s2s,SAE,166,0.8385416666666666,1
286,model.node_s2s,SAE,47,0.8391959798994975,1
287,model.node_s2s,SAE,137,0.776595744680851,1
288,model.node_s2s,SAE,53,0.7788944723618091,1
289,model.edge_s2s,SAE,51,0.6683673469387755,1
290,model.blocks.1.activation,SOM,5,0.8502673796791443,1
291,model.edge_s2s,SAE,68,0.8979591836734694,1
292,model.edge_s2s,SAE,9,0.6212121212121212,1
293,model.node_s2s,SAE,168,0.7663043478260869,1
294,model.blocks.1.activation,SAE,8,0.6382978723404256,1
295,model.blocks.0.activation,SAE,24,0.8355263157894737,1
296,model.output_proj.layers.2,SAE,44,0.7875647668393783,1
297,model.output_proj.layers.2,SAE,3,0.7563451776649747,1
298,model.blocks.1.activation,SOM,4,0.9320987654320988,1
299,model.state_encoder.layers.1,SOM,8,0.9221556886227545,1
300,model.output_proj.layers.2,SOM,18,0.9877300613496932,1
301,model.output_proj.layers.2,SAE,32,0.7563451776649747,1
302,model.output_proj.layers.2,SAE,33,0.7969543147208121,1
303,model.edge_s2s,SAE,144,0.8835978835978836,1
304,model.node_s2s,baseline,45,0.97,1
305,model.state_encoder.layers.1,SAE,1,0.9329896907216495,1
306,model.node_s2s,SAE,45,0.845360824742268,1
307,model.node_s2s,SAE,49,0.8421052631578947,1
308,model.state_encoder.layers.1,SOM,19,0.9436619718309859,1
309,model.edge_s2s,baseline,3,0.8839779005524862,1
310,model.edge_s2s,SOM,10,0.9246575342465754,1
311,model.node_s2s,SAE,140,0.915,1
312,model.blocks.0.activation,SOM,13,0.9402173913043478,1
313,model.edge_s2s,SAE,63,0.689119170984456,1
314,model.blocks.0.activation,SOM,24,0.9172413793103448,1
315,model.state_encoder.layers.1,SAE,33,0.8434343434343434,1
316,model.blocks.1.activation,SAE,26,0.7864583333333334,1
317,model.edge_s2s,SAE,167,0.9114583333333334,1
318,model.edge_s2s,SAE,117,0.732620320855615,1
319,model.state_encoder.layers.1,SAE,36,0.9326424870466321,1
320,model.blocks.0.activation,SAE,39,0.9435897435897436,1
321,model.node_s2s,baseline,36,0.93,1
322,model.edge_s2s,SAE,152,0.6820512820512821,1
323,model.blocks.2.activation,SAE,2,0.8969072164948454,1
324,model.node_s2s,SOM,4,1.0,1
325,model.edge_s2s,SAE,177,0.8229166666666666,1
326,model.node_s2s,SAE,117,0.8608247422680413,1
327,model.output_proj.layers.2,SAE,37,0.8121827411167513,1
328,model.edge_s2s,SAE,56,0.7127659574468085,1
329,model.node_s2s,SAE,1,0.8564102564102564,1
330,model.node_s2s,SAE,175,0.839572192513369,1
331,model.edge_s2s,baseline,45,0.9067357512953368,1
332,model.node_s2s,SAE,138,0.935,1
333,model.node_s2s,SAE,17,0.84375,1
334,model.output_proj.layers.2,SOM,10,0.8959537572254336,1
335,model.edge_s2s,SAE,78,0.8402061855670103,1
336,model.edge_s2s,SOM,9,0.9289940828402367,1
337,model.node_s2s,SAE,109,0.7537688442211056,1
338,model.edge_s2s,SAE,162,0.6717948717948717,1
339,model.edge_s2s,SAE,50,0.7724867724867724,1
340,model.edge_s2s,SAE,130,0.8979591836734694,1
341,model.blocks.1.activation,baseline,2,0.8736842105263158,1
342,model.edge_s2s,SAE,80,0.6178010471204188,1
343,model.node_s2s,baseline,6,0.8282828282828283,1
344,model.edge_s2s,SAE,42,0.6683673469387755,1
345,model.edge_s2s,baseline,0,0.7743589743589744,1
346,model.edge_s2s,baseline,16,0.7837837837837838,1
347,model.blocks.0.activation,SAE,47,0.8502673796791443,1
348,model.node_s2s,SAE,72,0.8385416666666666,1
349,model.node_s2s,baseline,20,0.885,1
350,model.node_s2s,SAE,82,0.8368421052631579,1
351,model.node_s2s,SAE,158,0.8359788359788359,1
352,model.edge_s2s,SAE,98,0.868421052631579,1
353,model.edge_s2s,baseline,36,0.676923076923077,1
354,model.node_s2s,SAE,28,0.868421052631579,1
355,model.state_encoder.layers.1,baseline,0,0.9576719576719577,1
356,model.blocks.2.activation,SOM,19,0.9019607843137255,1
357,model.node_s2s,SAE,174,0.8489583333333334,1
358,model.output_proj.layers.2,baseline,11,0.8102564102564103,1
359,model.node_s2s,baseline,5,0.9849246231155779,1
360,model.blocks.2.activation,SAE,19,0.7526315789473684,1
361,model.state_encoder.layers.1,baseline,10,0.9187817258883249,1
362,model.edge_s2s,SAE,21,0.8385416666666666,1
363,model.blocks.1.activation,baseline,0,0.9576719576719577,1
364,model.edge_s2s,SOM,5,0.9078014184397163,1
365,model.output_proj.layers.2,SAE,4,0.8274111675126904,1
366,model.edge_s2s,SAE,73,0.7653061224489796,1
367,model.node_s2s,SAE,98,0.8457446808510638,1
368,model.output_proj.layers.2,SOM,0,0.9534883720930233,1
369,model.state_encoder.layers.1,baseline,8,0.7384615384615385,1
370,model.blocks.0.activation,SAE,25,0.700507614213198,1
371,model.node_s2s,baseline,8,0.8535353535353535,1
372,model.node_s2s,SAE,186,0.8232323232323232,1
373,model.blocks.0.activation,SOM,17,0.9210526315789473,1
374,model.edge_s2s,SAE,59,0.6858638743455497,1
375,model.blocks.1.activation,SAE,29,0.9119170984455959,1
376,model.state_encoder.layers.1,SAE,6,0.6938775510204082,1
377,model.edge_s2s,baseline,46,0.7575757575757576,1
378,model.blocks.2.activation,SOM,13,0.9139072847682119,1
379,model.node_s2s,SOM,2,1.0,1
380,model.node_s2s,SAE,0,0.8465909090909091,1
381,model.edge_s2s,SAE,109,0.6212121212121212,1
382,model.blocks.2.activation,SAE,17,0.8316326530612245,1
383,model.node_s2s,SAE,32,0.8072916666666666,1
384,model.edge_s2s,SAE,45,0.8928571428571429,1
385,model.edge_s2s,SOM,24,0.8652849740932642,1
386,model.node_s2s,SAE,84,0.8201058201058201,1
387,model.blocks.0.activation,baseline,2,0.8736842105263158,1
388,model.edge_s2s,baseline,54,0.9794871794871794,1
389,model.blocks.2.activation,SOM,24,0.9254658385093167,1
390,model.node_s2s,SOM,22,0.9883040935672515,1
391,model.state_encoder.layers.1,baseline,4,0.8958333333333334,1
392,model.blocks.1.activation,SAE,33,0.8469387755102041,1
393,model.node_s2s,SAE,189,0.8645833333333334,1
394,model.node_s2s,baseline,61,0.76,1
395,model.state_encoder.layers.1,SAE,7,0.7823834196891192,1
396,model.blocks.0.activation,SAE,46,0.9076923076923077,1
397,model.edge_s2s,SAE,191,0.8497409326424871,1
398,model.edge_s2s,SAE,20,0.7025641025641025,1
399,model.node_s2s,SAE,30,0.8787878787878788,1
400,model.node_s2s,baseline,32,0.803030303030303,1
401,model.node_s2s,baseline,38,0.7272727272727273,1
402,model.state_encoder.layers.1,SOM,10,0.8698630136986302,1
403,model.blocks.1.activation,SOM,16,0.9080459770114943,1
404,model.blocks.1.activation,SAE,35,0.8615384615384616,1
405,model.edge_s2s,SAE,91,0.8350515463917526,1
406,model.blocks.2.activation,baseline,13,0.844559585492228,1
407,model.blocks.1.activation,baseline,8,0.7384615384615385,1
408,model.edge_s2s,SAE,6,0.8167539267015707,1
409,model.blocks.1.activation,SAE,10,0.9010989010989011,1
410,model.node_s2s,SAE,16,0.8177083333333334,1
411,model.edge_s2s,SAE,125,0.7239583333333334,1
412,model.edge_s2s,SAE,41,0.7979274611398963,1
413,model.node_s2s,baseline,11,0.9897959183673469,1
414,model.edge_s2s,SAE,71,0.8041237113402062,1
415,model.blocks.1.activation,SOM,3,0.9103448275862069,1
416,model.node_s2s,SOM,16,0.9818181818181818,1
417,model.state_encoder.layers.1,SAE,24,0.7883597883597884,1
418,model.state_encoder.layers.1,SAE,39,0.8553459119496856,1
419,model.blocks.1.activation,SAE,16,0.98989898989899,1
420,model.state_encoder.layers.1,SOM,24,0.9716312056737588,1
421,model.blocks.1.activation,SOM,23,0.951048951048951,1
422,model.node_s2s,SAE,55,0.8624338624338624,1
423,model.edge_s2s,SAE,124,0.7291666666666666,1
424,model.node_s2s,SAE,119,0.8393782383419689,1
425,model.node_s2s,SAE,132,0.775,1
426,model.edge_s2s,baseline,47,0.7421052631578947,1
427,model.node_s2s,SAE,18,0.8556149732620321,1
428,model.node_s2s,SAE,88,0.8564102564102564,1
429,model.edge_s2s,SAE,176,0.7908163265306123,1
