band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,homogeneous_poisson,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,universal_anisotropy,volume,target
0.0,5.070189,20.77387,0.0,2.624162,1.414002,-10.73171,1.414002,0.37,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0005376,0.0005376,6.469665e-06,-1.344143,-8.672,83.09549,1
0.0,11.21661,14.66055,0.0,7.492824,0.0,-25.37737,-0.1254539,0.273,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.5e-05,1.5e-05,2.557885e-07,-25.37737,0.363,58.6422,1
0.0,15.15834,11.18668,0.0,7.530257,0.4496431,-30.60735,0.4496431,0.279,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,5.28e-05,2.64e-05,1.179975e-06,-9.151788,0.585,44.74671,1
1.6619,3.418547,5.930826,0.0,9.591655,0.5407361,-8.56111,-0.1923603,0.097,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0001177,0.0001177,4.961366e-06,-8.47086,0.073,23.7233,1
0.0,4.189327,22.33378,0.0,1.369121,2.06271,-13.85988,1.603114,0.546,0.0,1.0,1.0,0.0,3.0,5.0,5.0,3.0,0.0,12.22803,12.22803,0.1095026,-6.816064,-8.192,111.6689,1
0.0,5.678683,35.30076,0.0,2.03506,1.918802,-3.585576,1.59471,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,1.7e-05,1.7e-05,9.63152e-08,-3.585576,0.0,176.5038,1
0.0,14.95409,13.6982,0.0,8.61863,0.0,-32.32402,-0.009306451,0.233,0.0,0.0,1.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,-32.32402,0.046,109.5856,1
0.0,9.794964,13.17325,0.0,9.436343,0.0,-20.38299,-0.4326119,0.0,0.0,0.0,1.0,1.0,2.0,12.0,0.0,0.0,0.0,1e-07,2.5e-08,6.325951e-10,-20.38299,0.0,158.079,1
2.1099,3.418968,5.930096,0.0,8.976463,0.5458347,-8.556012,-0.1872616,0.093,1.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0003188,0.0001594,6.719959e-06,-8.465762,0.064,47.44077,1
0.0,8.847274,10.21133,0.0,9.508948,0.5208402,-16.55091,0.1045974,0.316,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0019581,0.0019581,9.587877e-05,-8.384308,0.129,20.42267,1
