band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume,target,homogeneous_poisson,universal_anisotropy
0.0,5.935398,12.01772,0.0,8.866126,0.0,-7.903989,-0.6152445,0.0,1.0,1.0,1.0,2.0,8.0,4.0,2.0,0.0,6.531873,1.632968,0.06794001,-12.43481,96.14176,1,0.205,0.552
0.8049,4.142491,14.40995,0.0,7.92607,0.0,-6.396425,-0.3700419,0.0,0.0,0.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.42088,288.1989,1,0.17,0.426
0.0,4.447886,14.17304,0.0,8.32785,0.0,-10.55536,-0.4952443,0.0,0.0,1.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.55536,226.7687,1,0.183,0.014
0.0,7.074472,11.3328,0.0,8.306539,0.0,-7.870414,-0.6334457,0.0,1.0,1.0,1.0,3.0,12.0,4.0,1.0,0.0,12.51791,3.129479,0.0920478,-12.99473,135.9936,1,0.272,0.134
0.0,6.572017,15.79393,0.0,8.687139,0.0,-7.527399,-0.9859992,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,3.9e-06,3.9e-06,4.938607e-08,-16.1824,78.96964,1,0.0,0.0
0.0,5.980817,13.6061,0.0,9.715638,0.0,-7.024268,-0.544434,0.0,1.0,1.0,1.0,3.0,17.0,1.0,1.0,0.0,1.999665,1.999665,0.008645192,-14.97687,231.3037,1,0.0,0.0
0.0,6.680157,14.36389,0.0,9.20519,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,287.2777,1,0.0,0.0
0.0,7.326049,15.86832,0.0,6.69187,0.0,-6.382541,-0.7371078,0.0,0.0,1.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.6757,126.9465,1,0.0,0.0
0.0,7.206026,15.99261,0.0,6.611694,0.0,-6.393277,-0.7426695,0.0,0.0,1.0,1.0,3.0,8.0,0.0,0.0,0.0,2e-07,1e-07,1.563222e-09,-16.45645,127.9409,1,0.293,0.223
0.0,21.72902,18.11162,0.0,17.87224,0.09617646,-82.92804,0.09617646,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,7e-07,1.75e-07,9.662306e-09,-82.92804,72.44647,1,0.0,0.0
0.0,6.838809,15.25599,0.0,8.264567,0.0,-6.936822,-0.7259383,0.0,1.0,1.0,1.0,3.0,5.0,3.0,2.0,0.0,0.3356586,0.3356586,0.004400352,-15.68164,76.27994,1,0.236,0.532
6.1541,0.8771074,26.51435,0.0,-5.814409,0.6612283,-7.754207,-0.6637421,1.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0012079,0.000301975,5.694558e-06,-7.410707,212.1148,1,0.0,0.0
0.0,5.098238,12.4968,0.0,9.491872,0.0,-10.67167,-0.4110784,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.2e-06,1.2e-06,3.200819e-08,-10.67167,37.49041,1,0.355,0.398
0.0,6.726117,15.55068,0.0,6.463468,0.0,-6.681611,-0.6990233,0.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,0.0,0.1577888,0.1577888,0.002029349,-15.35415,77.75341,1,0.222,0.765
0.0,4.935873,14.37975,0.0,6.878615,0.0,-6.798333,-0.8430153,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,4.2e-06,4.2e-06,5.84155e-08,-11.49132,71.89873,1,0.17,1.643
