band_gap,density,density_atomic,deprecated,efermi,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,volume,cbm,vbm,target,energy_above_hull,energy_per_atom,formation_energy_per_atom,uncorrected_energy_per_atom
2.9433,3.981836,12.11411,0.0,1.048412,0.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,1.0,0.003241,0.00081025,9.554973e-06,339.1951,3.8938,0.9505,1,0.1018002,-5.501448,-1.427396,-5.235734
1.9743,2.414495,7.888487,0.0,1.487403,0.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,63.1079,3.2861,1.3118,1,0.0,-5.078612,-1.648019,-5.761234
0.3482,7.479366,17.41226,0.0,5.257333,0.0,1.0,0.0,1.0,3.0,22.0,4.0,2.0,0.0,0.0,0.0,0.0,383.0698,5.5538,5.2056,0,0.0,-9.232189,-3.67886,-26.71658
0.0,11.20345,13.29004,0.0,10.33905,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,3.0,0.0752443,39.87013,0.0,0.0,0,0.0,-11.21577,-3.598336,-35.41842
4.7503,6.021368,15.98602,0.0,4.632376,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0017225,0.0017225,3.591679e-05,47.95807,9.3369,4.5866,0,0.06110506,-17.07237,-4.12934,-7.745116
2.0862,7.218729,14.93853,0.0,3.041527,1.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,358.5248,5.0821,2.9959,0,0.02150075,-9.131754,-3.666272,-23.30177
2.1144,7.447472,16.32687,0.0,2.785593,1.0,0.0,0.0,1.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,391.845,4.7965,2.6821,0,0.0,-9.168462,-3.665222,-25.18506
0.0,10.45691,14.13476,0.0,9.007176,0.0,1.0,1.0,0.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,0.02358253,84.80855,0.0,0.0,0,0.04834764,-10.42695,-4.007901,-9.968955
1.6483,6.008962,16.73764,0.0,1.89857,0.0,0.0,0.0,1.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,368.2282,3.5028,1.8545,0,0.0,-8.732193,-3.322065,-22.54697
1.517,6.138319,18.76999,0.0,3.189252,0.0,0.0,0.0,0.0,3.0,104.0,0.0,0.0,0.0,0.1216081,0.03040202,6.22967e-05,1952.079,3.1937,1.6767,0,0.004372589,-8.904607,-3.344312,-8.455415
1.4469,6.837625,16.42303,0.0,2.46737,0.0,0.0,0.0,0.0,3.0,62.0,0.0,0.0,0.0,0.0460422,0.0230211,4.521797e-05,1018.228,3.9098,2.4629,0,0.03847088,-9.605857,-3.468683,-9.118309
1.6448,6.449313,17.76555,0.0,1.893816,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,390.842,3.4842,1.8394,0,0.00425486,-8.679812,-3.297109,-23.95755
0.3416,7.410209,17.75884,0.0,5.623849,0.0,1.0,0.0,0.0,3.0,38.0,3.0,7.0,1.0,0.2855749,0.2855749,0.0004231768,674.836,5.6317,5.2901,0,0.04420562,-9.170237,-3.608999,-8.736342
1.8855,7.722332,15.37616,0.0,2.791648,0.0,0.0,0.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0006335,7.91875e-05,1.287505e-06,492.037,4.5016,2.6161,0,0.08219407,-10.06381,-3.526758,-9.548559
0.0,8.189542,17.12642,0.0,7.059658,0.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,0.0,3.0,3.0,0.0350336,85.63208,0.0,0.0,0,0.0,-9.319061,-3.374352,-28.78587
1.8593,7.841887,15.36011,0.0,3.064164,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,307.2023,5.0164,3.1571,0,0.007425858,-9.552052,-3.635288,-26.22795
1.635,6.715813,17.68063,0.0,1.476892,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,70.72251,3.0456,1.4106,0,0.0,-10.146,-3.608952,-27.76034
0.0,8.213821,15.99975,0.0,5.743086,0.0,1.0,1.0,1.0,2.0,28.0,4.0,3.0,1.0,16.0,4.0,0.03571484,447.993,0.0,0.0,0,0.0,-10.68214,-3.445447,-10.19143
0.0,9.500773,13.45,0.0,8.901271,0.0,1.0,1.0,0.0,3.0,15.0,5.0,3.0,1.0,6.0,6.0,0.02973977,201.7501,8.7846,8.9698,0,0.1376037,-10.22156,-3.870173,-27.87718
