band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,homogeneous_poisson,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,universal_anisotropy,volume,target
0.0,12.91092,17.69408,0.0,8.123129,0.0,-37.21554,-0.7811981,0.353,0.0,0.0,1.0,1.0,2.0,8.0,0.0,0.0,1.0,1.66e-05,8.3e-06,1.172709e-07,-37.21554,0.728,141.5527,1
0.0,14.39625,22.75322,0.0,11.99855,0.2115929,-63.94842,0.2115929,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0049242,0.0024621,2.705222e-05,-9.635818,0.0,182.0258,1
2.1634,1.302741,18.54198,0.0,0.8123729,0.04131178,-6.078263,0.03617589,0.24,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.078263,-203.349,74.16791,1
0.0,2.391904,29.47895,0.0,3.366389,0.946942,-9.655052,0.4724219,-0.254,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0330701,0.01653505,0.0001402276,-3.916728,-3.544,235.8316,1
0.0,13.00389,26.73145,0.0,10.32131,0.2563813,-64.74013,0.2563813,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0010009,0.0010009,9.360695e-06,-8.071654,0.0,106.9258,1
0.0,4.808925,12.63129,0.0,6.83611,0.02086333,-13.10151,-1.433422,0.255,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.10151,0.311,75.78772,1
0.0,6.782473,20.33854,0.0,5.780339,0.06273762,-7.682951,-1.07404,0.309,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1e-07,1e-07,2.458386e-09,-20.00254,2.525,40.67709,1
0.0,2.399124,22.58966,0.0,5.653364,0.1468347,-5.171497,0.1077231,0.0,0.0,0.0,1.0,0.0,2.0,48.0,0.0,0.0,1.0,0.0001423,7.115e-05,1.312363e-07,-5.239539,0.0,1084.304,1
0.0,16.63532,23.21086,0.0,14.03424,0.2615938,-78.13647,0.2615938,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0131519,0.00657595,7.082838e-05,-10.11135,0.0,185.6869,1
0.0,16.2462,22.46889,0.0,11.93125,0.182092,-70.56258,0.182092,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0277232,0.0138616,0.000154231,-10.06504,0.0,179.7511,1
0.0,19.77962,16.02942,0.0,7.757859,0.007669869,-51.08013,-1.176484,0.291,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,3e-07,3e-07,4.678897e-09,-51.08013,0.135,64.11767,1
0.0,19.90314,16.84653,0.0,11.16724,0.0,-59.40802,-0.9244997,0.284,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4e-07,4e-07,5.93594e-09,-59.40802,0.032,67.38613,1
0.0,10.80395,14.79313,0.0,5.314955,0.2726907,-28.84987,-1.709787,0.31,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0026727,0.0026727,9.033586e-05,-10.62219,0.061,29.58626,1
