band_gap,density,density_atomic,deprecated,efermi,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,volume,cbm,vbm,target,energy_above_hull,energy_per_atom,formation_energy_per_atom,uncorrected_energy_per_atom
0.0,5.201076,23.22983,0.0,1.934594,0.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,0.0,5.795089,5.795089,0.04989352,116.1491,0.0,0.0,1,2.887722,-18.19197,2.204516,-5.476397
0.8832,0.3880333,132.5483,0.0,-3.412703,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,530.193,-2.5666,-3.4498,1,0.0539872,-8.948089,0.0539872,-8.948089
1.408,2.468922,10.17583,0.0,5.283198,0.0,0.0,0.0,1.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,325.6266,6.6692,5.2612,1,0.0,-7.747357,-0.04414992,-7.747357
0.0,6.511603,18.52409,0.0,6.064065,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3e-07,1.5e-07,8.097562e-09,37.04819,0.0,0.0,1,0.2297191,-13.64226,0.2297191,-4.393309
0.0,3.363806,13.86438,0.0,10.07587,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.72875,0.0,0.0,1,0.5129498,-8.260815,0.5129498,-4.912368
0.0,2.604152,11.62467,0.0,2.682022,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0013502,0.0013502,5.807477e-05,23.24934,0.0,0.0,1,1.279298,-2.157048,0.4648034,-1.850048
2.4459,2.542099,7.438486,0.0,4.88784,0.0,0.0,0.0,0.0,2.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,401.6782,7.2649,4.819,1,0.0221554,-7.761174,-0.5687869,-7.014845
0.0,2.322437,7.729851,0.0,4.426162,0.0,0.0,1.0,0.0,1.0,105.0,0.0,0.0,0.0,1e-07,9.52381e-10,1.232082e-10,811.6343,0.0,0.0,1,0.01974747,-7.326607,0.01974747,-7.326607
0.0,4.591527,14.63102,0.0,2.106272,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0001299,0.0001299,4.439199e-06,29.26204,0.0,0.0,1,1.137217,-7.493365,0.8098747,-1.629172
2.3536,2.533459,7.463855,0.0,5.099314,0.0,0.0,0.0,0.0,2.0,54.0,0.0,0.0,1.0,3.52e-05,5.866667e-06,8.733447e-08,403.0482,7.3913,5.0377,1,0.02597605,-7.757353,-0.5649662,-7.011024
